Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0.52,0,2.018353,2,-0.212458,2,1.940377,2,1.93998,2,11.490044,2,2.026231,2,2.13767,2,0.063167,0.089594,0.061878,0.00419,-0.083793,-0.025782
0.53,0,2.008548,2,-0.216518,2,1.893956,2,1.908281,2,11.69774,2,1.995954,2,2.104225,2,0.064134,0.090238,0.063489,0.004834,-0.084437,-0.026105
0.54,0,2.000144,2,-0.217871,2,1.968229,2,1.968509,2,11.925218,2,2.037876,2,2.157179,2,0.065101,0.090238,0.063489,0.004834,-0.086371,-0.025782
0.55,0,2.01135,2,-0.216518,2,1.90324,2,1.924131,2,11.826314,2,2.009928,2,2.115373,2,0.068001,0.095073,0.065101,0.006123,-0.086693,-0.025782
0.56,0,1.997343,2,-0.240876,2,1.810399,2,1.841713,2,12.224399,2,1.993625,2,2.101438,2,0.067034,0.09475,0.065423,0.004834,-0.089272,-0.027394
0.57,0,1.988939,2,-0.261175,2,1.918714,2,1.94949,2,12.449404,2,2.023902,2,2.140457,2,0.067034,0.09475,0.067034,0.004834,-0.090238,-0.027072
0.58,0,1.983336,2,-0.288239,2,1.866104,2,1.917791,2,12.553252,2,1.993625,2,2.13767,2,0.071868,0.102485,0.06929,0.004834,-0.093139,-0.027394
0.59,0,1.976333,2,-0.311244,2,1.937282,2,1.974849,2,12.748586,2,2.047192,2,2.18505,2,0.076703,0.110864,0.070257,0.005479,-0.096684,-0.028038
0.6,0,1.956724,2,-0.32207,2,1.866104,2,1.927301,2,13.225793,2,2.012257,2,2.146031,2,0.075414,0.107964,0.071869,0.006123,-0.098618,-0.028038
0.61,0,1.944118,2,-0.349135,2,1.763979,2,1.838543,2,13.796959,2,1.956361,2,2.134883,2,0.078314,0.114087,0.073802,0.005801,-0.101518,-0.029005
0.62,0,1.938515,2,-0.366727,2,1.863009,2,1.93681,2,13.97993,2,2.037876,2,2.159966,2,0.082504,0.120211,0.075414,0.006446,-0.104419,-0.029327
0.63,0,1.935714,2,-0.384319,2,1.841346,2,1.93364,2,13.962622,2,2.070482,2,2.159966,2,0.086049,0.126012,0.078314,0.007735,-0.107319,-0.029972
0.64,0,1.911903,2,-0.389732,2,1.927998,2,1.981189,2,14.395323,2,1.993625,2,2.207346,2,0.08476,0.124722,0.079603,0.006123,-0.108608,-0.029972
0.65,0,1.896495,2,-0.400558,2,1.968229,2,1.924131,2,14.575822,2,2.072811,2,2.157179,2,0.086049,0.125045,0.079603,0.00709,-0.109253,-0.029972
0.66,0,1.903499,2,-0.405971,2,2.020839,2,1.851223,2,14.350817,2,2.070482,2,2.218494,2,0.086049,0.126334,0.08057,0.007412,-0.109898,-0.030294
0.67,0,1.896495,2,-0.408677,2,2.057975,2,1.93998,2,14.481863,2,2.086785,2,2.207346,2,0.087016,0.127623,0.080892,0.007735,-0.109575,-0.02965
0.68,0,1.883889,2,-0.41815,2,2.039407,2,1.917791,2,14.69945,2,2.058837,2,2.159966,2,0.087338,0.126978,0.081215,0.008057,-0.110542,-0.02965
0.69,0,1.889492,2,-0.42221,2,1.940377,2,1.968509,2,14.879949,2,2.096101,2,2.215707,2,0.087338,0.127623,0.082181,0.008379,-0.110542,-0.02965
0.7,0,1.881088,2,-0.426269,2,1.996081,2,1.914621,2,15.164296,2,2.070482,2,2.187837,2,0.087338,0.12859,0.081859,0.008379,-0.110542,-0.029972
0.71,0,1.88529,2,-0.426269,2,1.952755,2,1.981189,2,15.050557,2,2.061166,2,2.240791,2,0.091528,0.133746,0.083471,0.008379,-0.114087,-0.031261
0.72,0,1.855876,2,-0.430329,2,1.989892,2,1.93681,2,15.634086,2,2.084456,2,2.201772,2,0.090238,0.133102,0.084437,0.008379,-0.114732,-0.030617
0.73,0,1.844671,2,-0.426269,2,1.95585,2,1.876582,2,15.985192,2,2.035547,2,2.18505,2,0.091528,0.133746,0.086371,0.008379,-0.116343,-0.030294
0.74,0,1.84187,2,-0.419503,2,2.030123,2,1.93364,2,16.000028,2,2.086785,2,2.229642,2,0.095073,0.139225,0.087338,0.008702,-0.118277,-0.032228
0.75,0,1.84327,2,-0.416797,2,1.996081,2,1.895601,2,15.673647,2,2.065824,2,2.187837,2,0.09894,0.147927,0.08766,0.009024,-0.119244,-0.032228
0.76,0,1.82226,2,-0.423563,2,1.924903,2,1.835373,2,16.341244,2,2.140352,2,2.101438,2,0.101518,0.148571,0.089272,0.009346,-0.122467,-0.031261
